id,code,first_name,second_name,web_name,team_code,player_type,status,in_dreamteam,form,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,now_cost
108,446008,Bryan,Mbeumo,Mbeumo,BRE,MID,d,False,0.0,150,3.9,2905,9,9,10,39,0,0,0,5,0,0,19,65
109,51927,Ben,Mee,Mee,BRE,DEF,a,False,0.0,143,3.9,3269,3,2,12,40,0,0,0,2,0,0,11,50
110,128295,Christian,Nørgaard,Nørgaard,BRE,MID,a,False,0.0,71,3.2,1763,1,6,6,23,0,0,0,6,0,0,6,55
111,428580,Frank,Onyeka,Onyeka,BRE,MID,d,False,0.0,38,1.8,837,0,3,3,11,0,0,0,0,0,0,0,50
112,231065,Ethan,Pinnock,Pinnock,BRE,DEF,a,False,0.0,112,3.7,2700,3,0,10,34,1,0,0,0,0,0,6,45
113,154561,David,Raya Martin,Raya,BRE,GKP,a,False,0.0,166,4.4,3420,0,0,12,46,1,0,0,1,0,154,20,50
114,226956,Mads,Roerslev Rasmussen,Roerslev,BRE,DEF,a,False,0.0,48,2.4,1101,0,0,5,12,0,0,0,0,0,0,0,45
115,513418,Kevin,Schade,Schade,BRE,MID,a,False,0.0,29,1.6,723,0,1,3,7,0,0,0,2,0,0,0,55
116,140200,Thomas,Strakosha,Strakosha,BRE,GKP,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
117,144485,Ivan,Toney,Toney,BRE,FWD,s,False,0.0,182,5.5,2953,20,4,10,42,0,0,1,9,0,0,35,80
118,591357,Ryan,Trevitt,Trevitt,BRE,MID,n,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
119,216646,Yoane,Wissa,Wissa,BRE,FWD,a,False,0.0,111,2.9,1587,7,4,7,17,0,0,0,3,0,0,6,60
120,508395,Yegor,Yarmolyuk,Yarmolyuk,BRE,MID,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
121,48760,Mathias,Jorgensen,Zanka,BRE,DEF,a,False,0.0,45,2.5,1097,0,1,4,15,1,0,0,2,0,0,4,45
620,501284,Michale,Olakigbe,Olakigbe,BRE,MID,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
122,535818,Simon,Adingra,Adingra,BHA,MID,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50
123,235382,Steven,Alzate,Alzate,BHA,MID,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
124,509416,Yasin,Ayari,Ayari,BHA,MID,a,False,0.0,3,1.0,65,0,0,0,2,0,0,0,0,0,0,0,45
